Player_Name,Player_LastName,Club,Position,Foot,known_name
Sandro,Tonali  ,MILAN,Defensive Midfield,right,TONALI S.
Frank,Anguissa ,NAPOLI,Defensive Midfield,right,ANGUISSA A. Z.
Diego,Demme ,NAPOLI,Defensive Midfield,right,DEMME D.
Giovanni,Di Lorenzo,NAPOLI,Right-Back,right,DI LORENZO G.
Eljif,Elmas ,NAPOLI,Attacking Midfield,right,ELMAS E.
FabiAn,Ruiz ,NAPOLI,Central Midfield,left,FABIAN RUIZ
Gianluca,Gaetano ,NAPOLI,Attacking Midfield,right,GAETANO G.
Faouzi,Ghoulam ,NAPOLI,Left-Back,left,GHOULAM F.
Lorenzo,Insigne  ,NAPOLI,Left Winger,right,INSIGNE L.
Juan,Jesus ,NAPOLI,Centre-Back,left,JUAN JESUS
Kalidou,Koulibaly ,NAPOLI,Centre-Back,right,KOULIBALY K.
Stanislav,Lobotka ,NAPOLI,Defensive Midfield,both,LOBOTKA S.
Hirving,Lozano ,NAPOLI,Right Winger,right,LOZANO H.
KE'vin,Malcuit ,NAPOLI,Right-Back,right,MALCUIT K.
Konstantinos,Manolas ,NAPOLI,Centre-Back,right,MANOLAS K.
Davide,Marfella ,NAPOLI,Goalkeeper,right,MARFELLA D.
Alex,Meret ,NAPOLI,Goalkeeper,left,MERET A.
Dries,Mertens ,NAPOLI,Centre-Forward,right,MERTENS D.
Victor,Osimhen ,NAPOLI,Centre-Forward,right,OSIMHEN V.
David,Ospina ,NAPOLI,Goalkeeper,right,OSPINA D.
Adam,Ounas ,NAPOLI,Right Winger,left,OUNAS A.
Andrea,Petagna ,NAPOLI,Centre-Forward,left,PETAGNA A.
Matteo,Politano ,NAPOLI,Right Winger,left,POLITANO M.
Amir,Rrahmani ,NAPOLI,Centre-Back,both,RRAHMANI A.
MArio,Rui ,NAPOLI,Left-Back,left,RUI M.
Axel,Tuanzebe ,NAPOLI,Centre-Back,right,TUANZEBE A.
Alessandro,Zanoli ,NAPOLI,Right-Back,right,ZANOLI A.
Piotr,Zielinski ,NAPOLI,Attacking Midfield,both,ZIELINSKI P.
Tammy,Abraham ,ROMA,Centre-Forward,right,ABRAHAM T.
Felix,Afena-Gyan ,ROMA,Centre-Forward,right,AFENA-GYAN F.
Edoardo,Bove ,ROMA,Central Midfield,right,BOVE E.
Bryan,Cristante  ,ROMA,Defensive Midfield,right,CRISTANTE B.
Ebrima,Darboe  ,ROMA,Defensive Midfield,right,DARBOE E.
Amadou,Diawara ,ROMA,Defensive Midfield,right,DIAWARA A.
Stephan,El Shaarawy,ROMA,Left Winger,right,EL SHAARAWY S.
Daniel,Fuzato ,ROMA,Goalkeeper,right,FUZATO D.
Roger,IbaNez ,ROMA,Centre-Back,right,IBANEZ R.
Rick,Karsdorp ,ROMA,Right-Back,right,KARSDORP R.
Dimitrios,Keramitsis ,ROMA,Centre-Back,both,KERAMITSIS D.
