,Player_Name,Player_LastName,Club,Position,Foot,known_name,sics_id,opta_id,sc_id,first_name,last_name,born_date
138,NicolAs,GonzAlez  ,FIORENTINA,Left Winger,left,GONZALEZ N.,26456,231004,19061,NICOLAS,GONZALEZ,1998-04-06
139,Igor,Igor,FIORENTINA,Centre-Back,left,IGOR,20897,223434,23754,IGOR JULIO,DOS SANTOS DE PAULO,1998-02-07
140,Jonathan,IkonE' ,FIORENTINA,Right Winger,left,IKONE' J.,11426,199672,11653,JONATHAN,IKONE',1998-05-02
141,Aleksandr,Kokorin ,FIORENTINA,Centre-Forward,right,KOKORIN A.,8600,57038,13218,ALEKSANDR,KOKORIN,1991-03-19
142,Youssef,Maleh ,FIORENTINA,Central Midfield,left,MALEH Y.,14384,232066,27653,YOUSSEF,MALEH,1998-08-22
143,Nikola,MilenkoviC ,FIORENTINA,Centre-Back,right,MILENKOVIC N.,14076,227444,11816,NIKOLA,MILENKOVIC,1997-10-12
144,Matija,NastasiC ,FIORENTINA,Centre-Back,left,NASTASIC M.,7555,84702,7201,MATIJA,NASTASIC,1993-03-28
145,Alvaro,Odriozola ,FIORENTINA,Right-Back,right,ODRIOZOLA A.,13413,201172,11358,ALVARO,ODRIOZOLA,1995-12-14
146,Krzysztof,Piatek ,FIORENTINA,Centre-Forward,right,PIATEK K.,13404,185065,5994,KRZYSZTOF,PIATEK,1995-07-01
147,Erick,Pulgar ,FIORENTINA,Defensive Midfield,right,PULGAR E.,8679,139146,3144,ERICK,PULGAR,1994-01-15
148,Lucas,MartInez Quarta,FIORENTINA,Centre-Back,right,QUARTA L. M.,24458,209736,24949,LUCAS MARTINEZ,QUARTA,1996-05-10
149,Luca,Ranieri ,FIORENTINA,Left-Back,left,RANIERI L.,14362,215983,19893,LUCA,RANIERI,1999-04-23
150,Riccardo,Saponara ,FIORENTINA,Attacking Midfield,right,SAPONARA R.,6187,57107,9016,RICCARDO,SAPONARA,1991-12-21
151,Riccardo,Sottil  ,FIORENTINA,Left Winger,right,SOTTIL R.,15990,235454,14066,RICCARDO,SOTTIL,1999-06-03
152,Pietro,Terracciano ,FIORENTINA,Goalkeeper,right,TERRACCIANO P.,9194,79583,8706,PIETRO,TERRACCIANO,1990-03-08
153,Aleksa,TerziC ,FIORENTINA,Left-Back,left,TERZIC A.,20220,430847,12351,ALEKSA,TERZIC,1999-08-17
154,Lucas,Torreira ,FIORENTINA,Defensive Midfield,right,TORREIRA L.,7654,198849,11341,LUCAS,TORREIRA,1996-02-11
155,Lorenzo,Venuti ,FIORENTINA,Right-Back,right,VENUTI L.,5807,178724,19780,LORENZO,VENUTI,1995-04-12
156,Dušan,VlahoviC ,FIORENTINA,Centre-Forward,left,VLAHOVIC D.,16827,225479,14068,DUSAN,VLAHOVIC,2000-01-28
157,Kevin,Agudelo ,GENOA,Attacking Midfield,left,AGUDELO K.,20959,444845,24246,KEVIN,AGUDELO,1998-11-14
158,Nadiem,Amiri ,GENOA,Central Midfield,right,AMIRI N.,13822,183309,7846,NADIEM,AMIRI,1996-10-27
159,Milan,Badelj ,GENOA,Defensive Midfield,right,BADELJ M.,6051,56999,7629,MILAN,BADELJ,1989-02-25
160,Mattia,Bani ,GENOA,Centre-Back,right,BANI M.,5834,152965,11598,MATTIA,BANI,1993-12-10
161,Valon,Behrami ,GENOA,Defensive Midfield,right,BEHRAMI V.,10016,21123,10633,VALON,BEHRAMI,1985-04-19
162,Flavio,Bianchi ,GENOA,Centre-Forward,right,BIANCHI F.,16089,209340,28601,FLAVIO,BIANCHI,2000-01-24
163,Davide,Biraschi ,GENOA,Centre-Back,right,BIRASCHI D.,8843,116196,11655,DAVIDE,BIRASCHI,1994-07-02
164,Aleksander,Buksa ,GENOA,Centre-Forward,left,BUKSA A.,26521,476956,29662,ALEKSANDER,BUKSA,2003-01-15
165,Felipe,Caicedo ,GENOA,Centre-Forward,left,CAICEDO F.,13451,42173,3355,FELIPE,CAICEDO,1988-09-05
